Index,CANCER,Bcell_general,Memory_Bcell,Naive_Bcell,Plasma_cell,CD4_Tcell,CD8_Tcell,Memory_Tcell,Naive_Tcell,Tcell_general,Cytotoxic_Tcell,Exhausted_Tcell,Immune_checkpoint,Treg,NKcell,Innate_lymphoid_cell,cDC,pDC,Macrophage,Monocyte,Myeloid,Granulocyte,Mast,Erythrocyte,Platelet,Stem,Stroma,Pericyte,Fibroblast,Endothelial,Epithelial,Mesothelial,Adipocyte,Hepatocyte,Pancreatic,Pneumocyte,Apoptosis_pathway,IFNg_pathway,TGFb_pathway,Cytokine,Cell_proliferation,TLS,Genome_integrity,Reference
IMVigor210-0257bb-ar-0257bbb,2.2315857,-0.38922885,0.23175012,-0.8252498,-0.08116806,0.00070856325,0.11121489,0.110647514,0.19516227,-0.18454519,-0.02601146,-0.028421275,0.014691696,-0.12083159,-0.033858106,0.20999952,0.14862935,-0.013504237,-0.13540253,-0.050421197,-0.0017759241,-0.103358954,-0.635924,-0.0051317513,-0.04541911,-0.13787314,-0.11754731,-0.31662107,-0.14518318,-0.14398766,-0.22252586,-0.12298206,0.09563039,-0.062292114,0.03579597,-0.031881005,0.18486512,-0.094043076,-0.044376153,-0.0805852,0.012584072,-0.18757978,0.24779588,0.47307375
IMVigor210-025b45-ar-025b45c,2.2315712,-0.27078998,0.15610455,-0.84088373,-0.006839007,-0.1644054,0.07690297,0.1851598,0.37765744,-0.22798671,-0.22730358,0.066115074,0.036775053,-0.13645694,0.019849166,0.24402203,0.18088639,-0.11334546,-0.13975725,-0.20330708,0.049098745,-0.07524654,-0.44649196,0.0075705796,0.039888144,-0.13467489,-0.14767557,-0.2996716,-0.2768765,-0.16039366,-0.11803503,0.094063625,0.027645677,-0.05595669,-0.10126406,-0.009507149,0.1684029,-0.17453945,0.1507484,-0.05099356,-0.13095126,-0.1408362,0.16832882,0.4728682
IMVigor210-032c64-ar-032c642,2.231653,-0.40752596,0.31737214,-0.8158638,-0.2528662,0.03369928,0.09514131,0.19390012,0.27546036,0.05004497,0.23604314,-0.08097311,0.22740498,-0.11345245,-0.114967234,0.19044867,0.20874807,0.08982463,-0.13201407,-0.29288065,-0.033056583,-0.10893363,0.13950217,0.0058497638,-0.049687132,-0.18437032,-0.07660177,-0.26231205,-0.16970594,-0.19650915,-0.057562638,-0.0022673756,-0.018395022,-0.06291692,0.059115067,-0.030625597,0.20829228,0.116350785,0.044724442,-0.12155331,0.098186426,-0.16229168,0.29396307,0.47462606
IMVigor210-0571f1-ar-0571f17,2.2316294,-0.35561556,0.5393968,-0.46009564,-0.12017474,-0.20362483,0.23879582,0.22392586,0.78375685,0.4731843,0.20065421,-0.13789593,0.14871149,-0.06619447,-0.11465425,0.18249443,0.033762157,0.038005546,-0.096766375,-0.07617972,0.012929108,-0.065852545,0.04590689,0.027629942,0.029706776,0.16617773,-0.097851254,-0.25571367,-0.036814198,-0.15893215,-0.12154323,-0.17284164,-0.080946445,-0.049082637,0.057428166,0.033853814,0.08215065,0.11103733,-0.039122134,-0.10167977,0.009289183,0.3995891,0.23150852,0.46782357
IMVigor210-065890-ar-0658907,2.2316267,-0.3855663,0.34557897,-0.8284077,-0.3138862,0.0080704335,0.087978914,0.07974781,0.23338488,-0.06366198,0.061901666,-0.07155605,0.06418623,-0.114739075,-0.07184787,0.21616405,0.17616595,-0.092799515,-0.1142412,0.0022510588,0.01943945,-0.1214795,-0.08127327,0.025385454,-0.080700174,-0.14341031,-0.040036067,-0.2409015,-0.16300939,-0.22503513,-0.115773246,-0.3483789,0.024995536,-0.061948836,0.15368809,0.01790832,0.25232163,-0.0019318201,-0.11563204,-0.0876029,-0.049649686,-0.2343222,0.23392823,0.47947964
IMVigor210-0684af-ar-0684af7,2.2316434,-0.26039648,0.32242602,-0.833145,0.20404695,0.052856892,0.04780865,0.031999595,0.16970295,-0.22280231,-0.3292772,0.0090858415,-0.06356834,-0.08520807,-0.00460729,0.23891467,0.22377044,-0.098772556,-0.14480126,-0.05105177,0.01112514,-0.07913498,0.27008605,0.10010444,-0.09605923,-0.21367075,-0.11999969,-0.5168319,-0.19099905,-0.08822063,-0.19276942,-0.38336003,0.053828433,-0.05905804,0.07907744,-0.036455944,0.23589948,-0.22115567,-0.07440534,-0.07054817,-0.05980712,-0.11409022,0.19364415,0.4766438
IMVigor210-075e03-ar-075e037,2.231613,-0.27193835,0.27143365,-0.8405666,0.18597294,0.082610264,0.01866237,-0.025033213,-0.2824732,-0.23181333,-0.13347667,-0.0054714754,-0.030930728,-0.015633285,-0.0484569,0.25056043,0.15699734,-0.078743875,-0.09375954,-0.119104534,0.05523973,-0.07743983,0.33479112,0.08944391,0.0390587,-0.18113768,-0.044658825,-0.24723795,-0.14123058,-0.16163348,-0.06662844,-0.34700257,0.03481771,-0.060546726,0.0642295,-0.02573441,0.24369825,-0.18086895,-0.08133046,-0.06297512,-0.1433757,-0.15726681,0.19636875,0.47271165
IMVigor210-07a93a-ar-07a93a2,2.231538,-0.3520141,0.14884053,-0.83025986,-0.35709327,-0.12832588,0.07504335,0.037723474,0.44352058,-0.1961525,-0.14346674,0.020152353,0.05846022,-0.11191445,-0.011262268,0.2522157,0.23917538,-0.078874275,-0.12856953,-0.114056766,0.05771134,-0.111110754,-0.3534586,-0.040782467,0.058451578,-0.08763285,-0.11187666,-0.3743798,-0.09396431,0.015508324,-0.10154269,-0.19050786,0.06729205,-0.05807191,0.039769754,0.005103156,0.2233214,-0.14021532,0.017650928,-0.051550694,-0.012133272,0.0066589564,0.29050666,0.4794855
IMVigor210-08cce2-ar-08cce2f,2.2315764,-0.4063121,0.21448319,-0.80916166,0.124473825,-0.09993264,0.06856438,0.11656414,0.11375293,-0.17066512,-0.33695447,0.001586102,-0.12738574,-0.03831978,-0.07853545,0.26006424,0.20905589,-0.02264744,-0.10017963,-0.10210577,0.08706363,-0.0914004,-0.37305406,0.076323345,-0.070387974,0.1817768,-0.09897908,-0.41200674,-0.16186368,-0.13883564,-0.16210371,-0.18514399,0.04278083,0.0052211136,0.05325289,-0.008917585,0.18457726,-0.27364287,-0.054354824,-0.0600362,-0.13516496,-0.1868099,0.15255825,0.4762504
IMVigor210-09c84e-ar-09c84ec,2.2315998,-0.24079487,0.2853583,-0.843368,0.25452936,-0.0036422573,0.006375756,-0.09466785,-0.40530384,-0.24175406,-0.38360298,-0.00084891915,-0.11756207,-0.10633679,-0.013350084,0.24155377,0.16075152,-0.097623765,-0.1301867,-0.17675483,0.03402266,-0.09654438,-0.04632046,0.10356031,-0.0703761,-0.2080119,-0.13228714,-0.68451595,-0.2662756,-0.12105061,-0.12574498,-0.09606614,-0.0652415,-0.07547286,0.014542267,-0.019074053,0.21183878,-0.3105209,0.06047892,-0.058944564,-0.08744765,-0.114972755,0.1740059,0.4698752
