Index,CANCER,Bcell_general,Memory_Bcell,Naive_Bcell,Plasma_cell,CD4_Tcell,CD8_Tcell,Memory_Tcell,Naive_Tcell,Tcell_general,Cytotoxic_Tcell,Exhausted_Tcell,Immune_checkpoint,Treg,NKcell,Innate_lymphoid_cell,cDC,pDC,Macrophage,Monocyte,Myeloid,Granulocyte,Mast,Erythrocyte,Platelet,Stem,Stroma,Pericyte,Fibroblast,Endothelial,Epithelial,Mesothelial,Adipocyte,Hepatocyte,Pancreatic,Pneumocyte,Apoptosis_pathway,IFNg_pathway,TGFb_pathway,Cytokine,Cell_proliferation,TLS,Genome_integrity,Reference
IMVigor210-0257bb-ar-0257bbb,-0.22577433,0.09118989,3.4739661,-0.901042,1.0555912,2.5527844,3.2741466,2.7366104,2.9743733,2.2611916,1.4917157,2.2693567,2.7201567,1.891612,1.440732,2.7961066,2.2670064,2.4869103,1.1380886,1.2272925,2.142372,1.9234469,0.9408601,2.2824066,1.1428457,1.4920559,1.9527912,0.3372562,1.9732075,2.511654,0.5057209,1.803174,2.7167315,2.7295408,3.4898043,1.0219331,2.652349,1.2045407,1.1482491,2.269911,2.3056152,1.1081208,2.9655888,3.9393785
IMVigor210-025b45-ar-025b45c,-0.22570616,1.0415394,3.1924417,-0.9659937,1.3369806,1.5112056,3.0240662,3.0336256,3.2658722,2.2706718,1.1101441,2.82975,2.7918832,2.03588,1.7943107,2.8954754,2.1869538,2.0757275,1.1203196,0.6306612,2.5450046,2.1811275,1.4156909,2.3497882,1.5877483,1.510511,1.7868255,0.3735909,1.0696082,2.4322183,0.8759808,2.0420904,2.4058647,2.7467709,2.8931906,1.1864312,2.5616496,0.963408,1.9619042,2.4439788,1.9284017,1.3321918,2.2159562,3.9352858
IMVigor210-032c64-ar-032c642,-0.22564575,0.26152575,3.8293343,-0.84184295,0.3858853,2.439771,3.1119347,3.041855,3.0601318,2.5852041,1.9062924,2.171334,3.6408215,2.1656566,1.3027446,2.3119116,2.483809,2.7758384,1.303963,0.6483854,2.1303616,1.8127701,3.0355098,2.3230116,1.096423,1.3811896,1.8889499,0.48817223,1.4575014,2.371442,1.501891,3.205212,1.9317074,2.700331,3.8691208,1.0644481,2.6584263,2.4159522,1.4231509,1.9699199,2.2582097,1.1190577,3.3470883,3.948472
IMVigor210-0571f1-ar-0571f17,-0.22569743,0.87982976,4.5697803,1.0949378,0.99901533,0.87900615,3.5238342,2.8441532,3.7573068,2.9918618,1.9120424,2.1007504,3.068839,2.3683364,1.4006199,2.268817,2.0027392,2.474464,1.4627321,1.341739,2.3893957,2.1034493,2.5968084,2.3360162,1.518215,2.8677702,1.778654,0.49325812,2.1352737,2.6439264,1.01608,1.7522936,1.5927026,2.756391,3.9658685,1.4387451,2.1798642,2.4305592,1.1235592,2.230339,2.2181666,2.8070638,2.6239243,3.9265802
IMVigor210-065890-ar-0658907,-0.22570632,0.18422006,3.9595826,-0.9287752,0.12874721,2.478085,3.1039858,2.7428558,3.0219238,2.5920982,1.6478809,2.0097392,2.9243555,2.0186706,1.2839086,2.687814,2.4546974,2.139935,1.2073684,1.3664114,2.2698834,1.8235476,2.3614106,2.3668828,0.9991122,1.5372536,2.3229866,0.53106034,1.9940108,2.2014494,1.1296514,0.8114999,2.191987,2.734134,4.389392,1.376576,2.9000516,1.6979283,0.85336125,2.241879,2.232962,1.012666,2.8124197,3.9608853
IMVigor210-0684af-ar-0684af7,-0.22556077,1.1084145,3.9340296,-0.9650056,2.0835993,2.6321554,2.9723666,2.6774373,3.3156278,2.3248801,1.0759163,2.3758354,2.3991272,2.0182588,1.5860381,2.9579113,2.6535482,2.1603165,1.109605,1.1256241,2.2383618,2.0215595,3.2060986,2.7731748,0.96682835,1.1799772,1.8490975,-0.20251213,1.9247762,2.873546,0.73952603,0.44358218,2.555148,2.7424965,4.0304966,0.9811912,2.7561164,0.835135,1.1608791,2.3643832,2.0601792,1.4373429,2.5538678,3.9623094
IMVigor210-075e03-ar-075e037,-0.22569464,1.0223016,3.7073288,-0.9808443,1.9983947,2.7629573,2.9950848,2.5286546,1.8673223,1.9612718,1.3225291,2.197344,2.5314002,2.116518,1.3354132,2.8145652,2.3081472,2.1976438,1.3530468,0.95023835,2.4238746,2.0727172,3.725309,2.6569886,1.6032864,1.383827,1.8037872,0.5140575,2.106193,2.4743364,1.490549,0.5472191,2.4256754,2.7412553,3.9423285,1.0797789,2.8488996,0.9646971,1.1780483,2.4764411,2.0680406,1.2518797,2.7409682,3.9334009
IMVigor210-07a93a-ar-07a93a2,-0.22562705,0.5048138,3.1423578,-0.9079533,0.034726426,1.624995,3.0804887,2.6326036,3.663964,2.2243712,1.3265725,2.5479069,2.9253192,2.01429,1.541084,3.0045521,2.718206,2.1601975,1.14759,1.1225618,2.5672517,1.9204836,1.8352052,2.0950134,1.6826175,1.5863497,2.0353324,0.1725045,2.1427236,3.1920204,1.0688475,1.551053,2.6442106,2.7507505,3.7721987,1.2676787,2.6735792,1.0990398,1.4217601,2.3794065,2.2657323,1.7726175,3.2801957,3.9589355
IMVigor210-08cce2-ar-08cce2f,-0.22568756,-0.043945447,3.4512775,-0.8324338,1.7519414,1.9799964,3.14927,2.8191147,2.7952108,2.192873,1.1459718,2.4149957,2.166143,2.0878038,1.1869044,2.8185859,2.5667043,2.4842267,1.2964978,1.0637313,2.4842129,1.9974556,1.7448643,2.6605995,1.0371296,2.923287,1.9852891,0.068230465,1.9549787,2.5186079,0.97901386,1.5003269,2.4391274,2.7267756,3.8134508,1.229563,2.5998545,0.69436866,1.2776191,2.4030466,2.1054065,1.1009963,2.068201,3.9452975
IMVigor210-09c84e-ar-09c84ec,-0.22561301,1.2733967,3.7757318,-0.98941815,2.2934844,2.296758,2.8004742,2.2174692,1.6184317,2.388114,0.8357777,2.3083954,2.1637516,2.023612,1.5129622,2.863376,2.066729,2.15036,1.2094084,0.8199901,2.5540733,1.8992152,2.79172,2.7503908,1.0770872,1.2806035,1.723026,-0.6485379,0.96417296,2.6950426,0.985244,0.74101835,1.6899817,2.4649787,3.5863738,1.155113,2.6863108,0.6464743,1.8468578,2.336041,2.2936826,1.4489871,2.1605804,3.9477077
